Company,Area,Skill,Count,% of Profiles
Facebook,top skills,Cloud Computing,1,0%
Facebook,top skills,Commodity,1,0%
Facebook,top skills,Communications,1,0%
Facebook,top skills,Community Outreach,1,0%
Facebook,top skills,Competitive Analysis,2,1%
Facebook,top skills,Computer Science,2,1%
Facebook,top skills,Computer Vision,1,0%
Facebook,top skills,Confocal Microscopy,1,0%
Facebook,top skills,Consulting,1,0%
Facebook,top skills,Corporate Finance,1,0%
Facebook,top skills,Creative Writing,1,0%
Facebook,top skills,Credit Cards,1,0%
Facebook,top skills,Credit Risk,1,0%
Facebook,top skills,CRM,1,0%
Facebook,top skills,CSS,1,0%
Facebook,top skills,Customer Analysis,1,0%
Facebook,top skills,Customer Insight,1,0%
Facebook,top skills,Data Analysis,122,35%
Facebook,top skills,Data Mining,28,8%
Facebook,top skills,Data Munging,1,0%
Facebook,top skills,Data Science,15,4%
Facebook,top skills,Data Visualization,2,1%
Facebook,top skills,Data Warehousing,3,1%
Facebook,top skills,Databases,8,2%
Facebook,top skills,Deep Learning,1,0%
Facebook,top skills,Digital Marketing,1,0%
Facebook,top skills,Digital Photography,1,0%
Facebook,top skills,Digital Strategy,1,0%
Facebook,top skills,Econometrics,5,1%
Facebook,top skills,Economic Modeling,2,1%
Facebook,top skills,Economics,8,2%
Facebook,top skills,Editing,2,1%
Facebook,top skills,EJB,1,0%
Facebook,top skills,English,1,0%
Facebook,top skills,Ensemble,1,0%
Facebook,top skills,Entrepreneurship,1,0%
Facebook,top skills,Environmental Awareness,1,0%
Facebook,top skills,Experimental Design,1,0%
Facebook,top skills,Finance,3,1%
Facebook,top skills,Financial Accounting,1,0%
Facebook,top skills,Financial Analysis,3,1%
Facebook,top skills,Financial Modeling,4,1%
Facebook,top skills,fMRI,1,0%
Facebook,top skills,Git,1,0%
Facebook,top skills,Google Analytics,3,1%
Facebook,top skills,Graphic Design,1,0%
Facebook,top skills,Hadoop,2,1%
Facebook,top skills,HTML,5,1%
Facebook,top skills,Identity Verification,1,0%
Facebook,top skills,Image Processing,2,1%
Facebook,top skills,Instructional Design,1,0%
Facebook,top skills,International Relations,1,0%
Facebook,top skills,Internet,1,0%
Facebook,top skills,Interviews,1,0%
Facebook,top skills,Investment Banking,1,0%
Facebook,top skills,Japanese,1,0%
Facebook,top skills,Java,16,5%
Facebook,top skills,Java Enterprise Edition,1,0%
Facebook,top skills,JavaScript,2,1%
Facebook,top skills,Labor Economics,1,0%
Facebook,top skills,LaTeX,4,1%
Facebook,top skills,Lead Generation,1,0%
Facebook,top skills,Leadership,8,2%
Facebook,top skills,Linux,1,0%
Facebook,top skills,Logistic Regression,1,0%
Facebook,top skills,Machine Learning,49,14%
Facebook,top skills,Management Consulting,1,0%
Facebook,top skills,Market Design,1,0%
Facebook,top skills,Marketing,2,1%
Facebook,top skills,Marketing Analytics,1,0%
Facebook,top skills,Mathematical Modeling,6,2%
Facebook,top skills,Mathematical Programming,1,0%
Facebook,top skills,Mathematics,3,1%
Facebook,top skills,Matlab,28,8%
Facebook,top skills,Microsoft Excel,15,4%
Facebook,top skills,Microsoft Office,12,3%
Facebook,top skills,Microsoft SQL Server,1,0%
Facebook,top skills,Microsoft Word,1,0%
Facebook,top skills,Mobile Devices,1,0%
Facebook,top skills,MongoDB,1,0%
Facebook,top skills,MySQL,6,2%
Facebook,top skills,Natural Language Processing,4,1%
Facebook,top skills,Networking,1,0%
Facebook,top skills,Neuroscience,1,0%
Facebook,top skills,Numerical Analysis,2,1%
Facebook,top skills,Online Advertising,2,1%
Facebook,top skills,Operations Research,5,1%
Facebook,top skills,Optics,1,0%
Facebook,top skills,Optimization,1,0%
Facebook,top skills,Oracle,1,0%
Facebook,top skills,Physics,2,1%
Facebook,top skills,PL/SQL,1,0%
Facebook,top skills,PostgreSQL,1,0%
Facebook,top skills,PowerPoint,2,1%
Facebook,top skills,Predictive Analytics,1,0%
Facebook,top skills,Predictive Modeling,7,2%
Facebook,top skills,Pricing Strategy,1,0%
Facebook,top skills,Product Development,1,0%
Facebook,top skills,Product Management,6,2%
